PID   COMMAND          COMMAND
  234 DIAG_SMD_WCNSS_  [DIAG_SMD_WCNSS_]
  235 DIAG_SMD_WCNSS_  [DIAG_SMD_WCNSS_]
  236 DIAG_SMD_SENSOR  [DIAG_SMD_SENSOR]
  237 DIAG_SMD_SENSOR  [DIAG_SMD_SENSOR]
  238 DIAG_SMD_SENSOR  [DIAG_SMD_SENSOR]
  239 DIAG_SMD_SENSOR  [DIAG_SMD_SENSOR]
  240 DIAG_SMD_SENSOR  [DIAG_SMD_SENSOR]
  241 DIAG_SOCKMODEM_  [DIAG_SOCKMODEM_]
  242 DIAG_SOCKMODEM_  [DIAG_SOCKMODEM_]
  243 DIAG_SOCKMODEM_  [DIAG_SOCKMODEM_]
  244 DIAG_SOCKMODEM_  [DIAG_SOCKMODEM_]
  245 DIAG_SOCKMODEM_  [DIAG_SOCKMODEM_]
  246 DIAG_SOCKLPASS_  [DIAG_SOCKLPASS_]
  247 DIAG_SOCKLPASS_  [DIAG_SOCKLPASS_]
  248 DIAG_SOCKLPASS_  [DIAG_SOCKLPASS_]
  249 DIAG_SOCKLPASS_  [DIAG_SOCKLPASS_]
  250 DIAG_SOCKLPASS_  [DIAG_SOCKLPASS_]
  251 DIAG_SOCKWCNSS_  [DIAG_SOCKWCNSS_]
  252 DIAG_SOCKWCNSS_  [DIAG_SOCKWCNSS_]
  253 DIAG_SOCKWCNSS_  [DIAG_SOCKWCNSS_]
  254 DIAG_SOCKWCNSS_  [DIAG_SOCKWCNSS_]
  255 DIAG_SOCKWCNSS_  [DIAG_SOCKWCNSS_]
  256 DIAG_SOCKSENSOR  [DIAG_SOCKSENSOR]
  257 DIAG_SOCKSENSOR  [DIAG_SOCKSENSOR]
  258 DIAG_SOCKSENSOR  [DIAG_SOCKSENSOR]
  259 DIAG_SOCKSENSOR  [DIAG_SOCKSENSOR]
  260 DIAG_SOCKSENSOR  [DIAG_SOCKSENSOR]
  261 DIAG_CNTL_SOCKE  [DIAG_CNTL_SOCKE]
  262 kgsl-workqueue   [kgsl-workqueue]
  263 kgsl-mementry    [kgsl-mementry]
  264 kgsl-events      [kgsl-events]
  265 kgsl_devfreq_wq  [kgsl_devfreq_wq]
