PID   COMMAND          COMMAND
 1244 audioserver      /system/bin/audioserver
 1245 audioserver      /system/bin/audioserver
 1250 Binder:912_1     {Binder:912_1} /system/bin/audioserver
 1265 Binder:912_2     {Binder:912_2} /system/bin/audioserver
  914 cameraserver     /system/bin/cameraserver
 1706 Binder:914_1     {Binder:914_1} /system/bin/cameraserver
  915 ddexe            /system/bin/ddexe
  928 ddexe            /system/bin/ddexe
  947 ddexe            /system/bin/ddexe
 1962 ddexe            /system/bin/ddexe
 2321 ddexe            /system/bin/ddexe
  916 connfwexe        /system/bin/connfwexe
  946 connfwexe        /system/bin/connfwexe
  918 rild             /system/bin/rild
 1029 rild             /system/bin/rild
 1034 rild             /system/bin/rild
 1049 Binder:918_1     {Binder:918_1} /system/bin/rild
 1050 rild             /system/bin/rild
 1051 rild             /system/bin/rild
 1052 Binder:918_2     {Binder:918_2} /system/bin/rild
 1329 rild             /system/bin/rild
 2202 rild             /system/bin/rild
 2203 rild             /system/bin/rild
 2204 rild             /system/bin/rild
 2207 rild             /system/bin/rild
 2211 rild             /system/bin/rild
 2212 rild             /system/bin/rild
 2277 rild             /system/bin/rild
 2279 rild             /system/bin/rild
 2287 rild             /system/bin/rild
 2288 rild             /system/bin/rild
 2293 rild             /system/bin/rild
  920 LOOPBACK         [LOOPBACK]
  921 diag_uart_log    /system/bin/diag_uart_log
  922 qmi_hndl0000000  [qmi_hndl0000000]
  923 smdexe           /system/bin/smdexe
 1958 smdexe           /system/bin/smdexe
 1959 smdexe           /system/bin/smdexe
 1960 smdexe           /system/bin/smdexe
 1961 smdexe           /system/bin/smdexe
  926 installd         /system/bin/installd
  927 kworker/u8:9     [kworker/u8:9]
  930 keystore         /system/bin/keystore /data/misc/keystore
  932 mediacodec       {mediacodec} media.codec mediacodec
 1060 Binder:932_1     {Binder:932_1} media.codec mediacodec
 1296 Binder:932_2     {Binder:932_2} media.codec mediacodec
 1556 Binder:932_3     {Binder:932_3} media.codec mediacodec
  933 mediadrmserver   /system/bin/mediadrmserver
 1066 Binder:933_1     {Binder:933_1} /system/bin/mediadrmserver
  934 mediaextractor   {mediaextractor} media.extractor aextractor
 1069 Binder:934_1     {Binder:934_1} media.extractor aextractor
  935 mediaserver      /system/bin/mediaserver
 1830 Binder:935_1     {Binder:935_1} /system/bin/mediaserver
 1832 Binder:935_2     {Binder:935_2} /system/bin/mediaserver
  938 Binder:938_2     {Binder:938_2} /system/bin/netd
 2338 netd             /system/bin/netd
 2339 netd             /system/bin/netd
 2342 netd             /system/bin/netd
 2343 netd             /system/bin/netd
 2344 netd             /system/bin/netd
 2345 netd             /system/bin/netd
 2346 netd             /system/bin/netd
 2347 Binder:938_1     {Binder:938_1} /system/bin/netd
 2348 Binder:938_2     {Binder:938_2} /system/bin/netd
  940 bootchecker      /system/bin/bootchecker
  941 loc_launcher     /system/bin/loc_launcher
  964 loc_launcher     /system/bin/loc_launcher
  943 ATFWD-daemon     /system/bin/ATFWD-daemon
  969 ATFWD-daemon     /system/bin/ATFWD-daemon
 1726 ATFWD-daemon     /system/bin/ATFWD-daemon
  944 dhd_watchdog_th  [dhd_watchdog_th]
  945 dhd_rpm_state_t  [dhd_rpm_state_t]
  954 mm-qcamera-daem  /system/bin/mm-qcamera-daemon
 1472 mm-qcamera-daem  /system/bin/mm-qcamera-daemon
 1473 mm-qcamera-daem  /system/bin/mm-qcamera-daemon
 1474 mm-qcamera-daem  /system/bin/mm-qcamera-daemon
 1475 mm-qcamera-daem  /system/bin/mm-qcamera-daemon
 1476 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1479 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1480 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1482 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1483 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1486 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1487 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1490 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1491 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1493 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1494 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1496 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1497 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1498 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1500 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1501 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1504 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1505 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1508 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1509 CAM_imgTh        {CAM_imgTh} /system/bin/mm-qcamera-daemon
 1520 POSIX timer 0    {POSIX timer 0} /system/bin/mm-qcamera-daemon
  955 fingerprintd     /system/bin/fingerprintd
  956 time_daemon      /system/bin/time_daemon
  973 time_daemon      /system/bin/time_daemon
  974 time_daemon      /system/bin/time_daemon
  975 time_daemon      /system/bin/time_daemon
  977 time_daemon      /system/bin/time_daemon
  981 time_daemon      /system/bin/time_daemon
  957 audiod           /system/bin/audiod
  986 Binder:957_1     {Binder:957_1} /system/bin/audiod
  987 AudioDaemon      {AudioDaemon} /system/bin/audiod
  961 gatekeeperd      /system/bin/gatekeeperd /data/misc/gatekeeper
  962 at_distributor   /system/bin/at_distributor
 2320 at_distributor   /system/bin/at_distributor
  971 irq/154-arm-smm  [irq/154-arm-smm]
  976 irq/157-arm-smm  [irq/157-arm-smm]
  979 irq/155-arm-smm  [irq/155-arm-smm]
  983 irq/158-arm-smm  [irq/158-arm-smm]
  995 qmuxd            /system/bin/qmuxd
 1039 qmuxd            /system/bin/qmuxd
 1253 qmuxd            /system/bin/qmuxd
 1026 ipacm-diag       /system/bin/ipacm-diag
 1038 ipacm-diag       /system/bin/ipacm-diag
 1046 ipacm            /system/bin/ipacm
 1071 ipacm            /system/bin/ipacm
 1072 netlink socket   {netlink socket} /system/bin/ipacm
 1073 ipa driver ntfy  {ipa driver ntfy} /system/bin/ipacm
 1056 androidshmservi  androidshmservice
 1068 Binder:1056_1    {Binder:1056_1} androidshmservice
 1058 DS               [DS]
 1059 DATA1            [DATA1]
 1061 DATA2            [DATA2]
 1062 DATA3            [DATA3]
 1063 DATA4            [DATA4]
 1064 DATA11           [DATA11]
 1087 netmgrd          /system/bin/netmgrd
 1099 netmgrd          /system/bin/netmgrd
 1100 netmgrd          /system/bin/netmgrd
 1110 netmgrd          /system/bin/netmgrd
 1112 netmgrd          /system/bin/netmgrd
 1113 netmgrd          /system/bin/netmgrd
 1241 netmgrd          /system/bin/netmgrd
 1242 netmgrd          /system/bin/netmgrd
 1243 netmgrd          /system/bin/netmgrd
 1188 loop0            [loop0]
 1192 jbd2/loop0-8     [jbd2/loop0-8]
 1193 ext4-rsv-conver  [ext4-rsv-conver]
 1247 DATA5_CNTL       [DATA5_CNTL]
 1275 system_server    system_server
 1282 Signal Catcher   {Signal Catcher} system_server
 1283 JDWP             {JDWP} system_server
 1284 ReferenceQueueD  {ReferenceQueueD} system_server
 1285 FinalizerDaemon  {FinalizerDaemon} system_server
 1286 FinalizerWatchd  {FinalizerWatchd} system_server
 1287 HeapTaskDaemon   {HeapTaskDaemon} system_server
 1679 Binder:1275_1    {Binder:1275_1} system_server
 1682 Binder:1275_2    {Binder:1275_2} system_server
 1717 system_server    system_server
 1732 android.bg       {android.bg} system_server
 1733 ActivityManager  {ActivityManager} system_server
 1734 android.ui       {android.ui} system_server
 1737 ActivityManager  {ActivityManager} system_server
 1739 batterystats-sy  {batterystats-sy} system_server
 1791 FileObserver     {FileObserver} system_server
 1795 MARsDBThread     {MARsDBThread} system_server
 1798 android.fg       {android.fg} system_server
 1799 android.io       {android.io} system_server
 1800 android.display  {android.display} system_server
 1802 CpuTracker       {CpuTracker} system_server
 1806 PowerManagerSer  {PowerManagerSer} system_server
 1807 [smart stay]     {[smart stay] } system_server
 1808 system_server    system_server
 1809 BatteryStats_wa  {BatteryStats_wa} system_server
 1810 mSvcLEDThread    {mSvcLEDThread} system_server
 1814 PmsDisplayThrea  {PmsDisplayThrea} system_server
 1843 PackageManager   {PackageManager} system_server
 1845 EMPackageHandle  {EMPackageHandle} system_server
 1898 packagescan-1    {packagescan-1} system_server
 1900 packagescan-2    {packagescan-2} system_server
 1901 packagescan-3    {packagescan-3} system_server
 1911 packagescan-4    {packagescan-4} system_server
 1912 packagescan-5    {packagescan-5} system_server
 1914 packagescan-6    {packagescan-6} system_server
 1308 daemonsu         daemonsu:mount:master
 1413 ipawq48          [ipawq48]
 1414 iparepwq48       [iparepwq48]
 1568 daemonsu         daemonsu:master
 1584 daemonsu         daemonsu:su.d r
 1646 sush             {sush} sh -c for i in $(ls /system/su.d/); do log -p i -t su.d Running /system/su.d/$i; /system/su.d/$i; done;
 1917 sh               /system/bin/sh /res/fish/FIsH
 1924 soundserver      {soundserver} /system/bin/sh /system/su.d/soundserver
 2369 supolicy_wrappe  /su/bin/supolicy_wrapped --live allow audioserver audioserver_tmpfs file { execute }
 2376 busybox          /res/fish/busybox ps -T -o pid,comm,args
